name,type,subtype,rarity,cost,weight,description,attunement
Infused Hide Armor of Psychic Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to psychic damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Radiant Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to radiant damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide Armor of Thunder Resistance,Armor,Medium Armor,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to thunder damage while you wear this armor. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
"Infused Hide Armor, +1",Armor,,Common,50 - 100 gp,12," Description Artificer Infusion Item: A suit of armor A creature gains a +1 bonus to Armor Class while wearing or wielding this infused item. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",FALSE
"Infused Hide Armor, +2",Armor,,Common,50 - 100 gp,12," Description Artificer Infusion Item: A suit of armor A creature gains a +2 bonus to Armor Class while wearing or wielding this infused item. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",FALSE
Infused Hide of Arcane Propulsion,Armor,,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Prerequisite: 14th-level artificer Item: A suit of armor The wearer of this armor gains these benefits: The wearer's walking speed increases by 5 feet. The armor includes gauntlets, each of which is a magic melee weapon that can be wielded only when the hand is holding nothing. The wearer is proficient with the gauntlets, and each one deals 1d8 force damage on a hit and has the thrown property, with a normal range of 20 feet and a long range of 60 feet. When thrown, the gauntlet detaches and flies at the attack's target, then immediately returns to the wearer and reattaches. The armor can't be removed against the wearer's will. If the wearer is missing any limbs, the armor replaces those limbs-hands, arms, feet, legs, or similar appendages. The replacements function identically to the body parts they replace. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
Infused Hide of Magical Strength,Armor,,Common (Requires Attunement),50 - 100 gp,12," Description Artificer Infusion Item: A suit of armor This armor has 6 charges. The wearer can expend the armor's charges in the following ways: When the wearer makes a Strength check or a Strength saving throw, it can expend 1 charge to add a bonus to the roll equal to its Intelli- gence modifier. If the creature would be knocked prone, it can use its reaction to expend 1 charge to avoid being knocked prone. The armor regains 1d6 expended charges daily at dawn. Hide Notes Medium armor offers more protection than light armor, but it also impairs movement more. If you wear medium armor, you add your Dexterity modifier, to a maximum of +2, to the base number from your armor type to determine your Armor Class. This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor. ",TRUE
"Infused Javelin, +1",Weapon,Simple Melee Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. ,FALSE
"Infused Javelin, +2",Weapon,Simple Melee Weapons,Common,50 - 100 gp,2, Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. ,FALSE
"Infused Lance, +1",Weapon,Martial Weapons,Common,50 - 100 gp,6," Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +1 bonus to attack and damage rolls made with it. Lance Notes You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. ",FALSE
"Infused Lance, +2",Weapon,Martial Weapons,Common,50 - 100 gp,6," Description Artificer Infusion Item: A simple or martial weapon This magic weapon grants a +2 bonus to attack and damage rolls made with it. Lance Notes You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted. ",FALSE
Infused Leather Armor of Acid Resistance,Armor,Light Armor,Common (Requires Attunement),50 - 100 gp,10," Description Artificer Infusion Prerequisite: 6th-level artificer Item: A suit of armor You have resistance to acid damage while you wear this armor. Leather Notes Made from supple and thin materials, light armor favors agile adventurers since it offers some protection without sacrificing mobility. If you wear light armor, you add your Dexterity modifier to the base number from your armor type to determine your Armor Class. The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials. ",TRUE
